name,category,price_incl_vat_zar,in_stock,qty_on_hand,sku
2 EARCANDLES + 1 EARPIECE,Accessories,48.94,yes,111,6000000698928
5L ALL PURPOSE CLEANING SPRAY,Accessories,632.75,yes,4,6000000005559
5L ORANGE DISHWASHING LIQUID SOAP,Accessories,824.74,yes,3,600000000571
8PC TEALIGHT CANDLES,Accessories,33.64,yes,2,6009547672941
AIR FRESH VANILLA 150ML,Accessories,64.88,yes,2,6009702800363
AIR FRESHNER CITRUS VANILA 150ML,Accessories,64.88,yes,3,6009702800356
ALL PURPOSE SPRAY 500ML,Accessories,115.06,yes,13,6009689722467
ARTHRITIS GLOVES S,Accessories,201.77,yes,1,6003058078414
AUTO DISHWASH GEL 500ML,Accessories,117.25,yes,3,6009827790549
AUTO SANITISER DISPENSER,Accessories,402.50,yes,1,6009547690228
BAMBOO STEAMER 5,Accessories,60.60,yes,1,6000000673109
BATHROOM CLEANER REFILL 500ML citru,Accessories,65.06,yes,1,6009702800110
BEAD TEETHING NECKLACE,Accessories,31.40,yes,1,6003058098962
BEAD TEETHING WRISTBAND,Accessories,33.81,yes,1,6003058098979
BLACK MENS BOOT SOCKS 6-11,Accessories,269.95,yes,2,9351383034474
BLACK RUBBER ADAPTOR,Accessories,15.54,yes,2,8019495021126
CANDLES REPLACEMENT FILTER,Accessories,491.41,yes,4,7896877440123
CARBON BLOCK FILTER,Accessories,317.21,yes,9,8851524905324
CASTOR OIL PG 100ML,Accessories,47.91,yes,6,6009547672866
CELERY SEED 100G,Accessories,35.01,yes,2,600000000244
CITRONELLA 10ML,Accessories,35.86,yes,2,6003058074874
CITRONELLA CANDLE,Accessories,141.46,yes,1,6000000815349
CLEANING GEL 2.5KG M,Accessories,470.81,yes,3,6009689724713
CLEAR  HOUSING,Accessories,409.82,yes,1,6000000611705
CYLINDER AROMA SALT LAMP,Accessories,535.40,yes,2,6000000144487
DOUBLE C/TOP PURIFIER,Accessories,1727.96,yes,3,8851524905720
DRAIN MAIN CLEANER 1LT,Accessories,110.44,yes,1,6009827790785
DUSTBIN & OUTDOOR CLEANER 1LT,Accessories,98.29,yes,3,6009827790853
DUSTBIN & OUTDOOR CLEANER 500ML,Accessories,81.79,yes,1,6009827790846
FERM CROCKPOT 3L,Accessories,958.34,yes,1,600000001915
FLOAT SPARE,Accessories,212.88,yes,2,789687742810
FLOOR & TILE CLEANER 750ML,Accessories,82.97,yes,4,6009827790822
FLOOR/TILE  1L,Accessories,73.06,yes,2,6009690560485
FRESH MIND AROMAPEN,Accessories,152.95,yes,5,5997072109289
H/WATER BOTTLE CREAM PLUSH COSY,Accessories,128.00,yes,1,6009547671104
HANDWASH LIQ 500ML,Accessories,46.58,yes,2,600000016690
HAPPY HUGGER,Accessories,284.60,yes,4,6000000014292
ION EXCHANGE RESIN FILTER,Accessories,317.21,yes,6,8851524905034
KEDLEY COMPRESSION SOCKS LARGE,Accessories,194.81,yes,5,6009547616075
KEDLEY COMPRESSION SOCKS MEDIUM,Accessories,185.15,yes,2,6009547616068
KEDLEY COMPRESSION SOCKS XL,Accessories,194.81,yes,1,6009547616082
KEDLEY PLANTA FASCIA SLEEVE LARGE,Accessories,194.81,yes,1,6009547616112
KEDLEY PLANTA FASCIA SLEEVE MEDIUM,Accessories,194.81,yes,1,6009547616105
KEDLEY PLANTA FASCIA SLEEVE SMALL,Accessories,194.81,yes,2,6009547616099
KEDLEY PLANTA FASCIA SLEEVE XL,Accessories,185.15,yes,2,6009547616129
KITCHEN CLEANER 1L,Accessories,73.06,yes,2,6009690560492
KITCHEN CLEANER 500ML,Accessories,65.82,yes,3,6009702800097
KITCHEN CLEANER 750ML,Accessories,55.96,yes,2,6009690561338
KITCHEN CLEANER SPRAY 500ML,Accessories,78.49,yes,4,6009702800080
LAUNDRY LIQUID 1L,Accessories,73.06,yes,2,6009690560607
LAUNDRY SOAP 2.5,Accessories,355.61,yes,5,600968972160
LITMUS PAPER KIT,Accessories,42.30,yes,1,6100000001268
MINI AIR PURIFIER,Accessories,388.13,yes,1,8887046644250
MOUTH GUARD JUNIOR,Accessories,109.48,yes,2,6003058078353
NA GROUNDING SLEEP MAT,Accessories,1461.52,yes,1,737186095864
NO CLEANING GEL 1KG M,Accessories,215.39,yes,7,6000000700225
NO LAUNDRY SOAP 1KG,Accessories,160.29,yes,3,6000000700201
NO LAUNDRY SOAP 5KG,Accessories,646.11,yes,5,600968972159
NUVO C/TOP,Accessories,1727.98,yes,2,8851524902583
NUVO FILTER,Accessories,233.74,yes,6,8851524907717
O RING 1'S,Accessories,36.85,yes,2,8851524770083
OHM DIFFUSER 200ML,Accessories,756.01,yes,1,6009712030064
OHM DIFFUSER BROWN 150ML,Accessories,581.84,yes,1,6009712031344
OHM SOY WAX MELTS 8S,Accessories,240.00,yes,1,6009712031474
OIL BURNER + SILVER STAND,Accessories,85.39,yes,2,6009547672804
ORANGE DISHWASHING LIQUID 500 ML,Accessories,98.45,yes,14,6000000155322
PAWS TOTE BAG,Accessories,95.80,yes,4,6009547667466
PESTLE N MORTAR,Accessories,310.88,yes,1,6000000144524
POLYETHYLENE FILTER,Accessories,317.21,yes,10,8851524905041
PRO TOILET CLEANER 750ML,Accessories,55.96,yes,3,6009690561376
PURE NUVO WATER FILTER MODEL,Accessories,1553.28,yes,1,8851524805341
SILVER CARBON BLOCK,Accessories,343.93,yes,9,8851524908172
SINGLE C/TOP PURIFIER (3IN1),Accessories,1287.55,yes,3,8851524905713
SINGLE HOLE CANDLE HOLDERS 1/2KG,Accessories,105.36,yes,8,6000000144517
SPYRA GYRA,Accessories,802.00,yes,1,2301001
STEEL TAP 1'S,Accessories,138.17,yes,2,8851524745050
TAPS REPLACEMENT SPARE,Accessories,210.61,yes,1,7896877452102
TEA LIGHT CANDLES 2PK,Accessories,8.69,yes,19,6009547654402
VITUS PILL BOX,Accessories,76.76,yes,1,6009547615436
W L/SLEEVE TOP WHITE,Accessories,719.95,yes,1,9351383002961
WATER 1.5LT,Accessories,18.14,yes,8,6009690380021
WHITE TIGER BALM,Accessories,67.36,yes,2,6951083601353
WINDOW & SURFACE CLEANER 500ML,Accessories,86.80,yes,6,6009702800127
BREAST CASTOR OIL PACK,Additional Choices,133.04,yes,6,600000003367
BURN DRESSING 10X10 1'S,Additional Choices,99.82,yes,2,9358388000091
BURN EX GEL SACHET 3.5G,Additional Choices,14.33,yes,21,6009681961208
CANCER 30ML,Additional Choices,495.00,yes,3,745853782191
DISHWASHING LIQUID A&P 750ML,Additional Choices,83.77,yes,5,6009702802008
DNA 3HP SPR BLENDER,Additional Choices,4899.99,yes,6,6005904132783
DNA COLD FLOW JUICER,Additional Choices,4999.00,yes,4,6005904433613
EYE PAD ENVELOPE 3PACK,Additional Choices,34.86,yes,2,6009681960584
FINGER TOE DRESS 25X25,Additional Choices,12.24,yes,7,6009681960553
FINGER TOE DRESS 35X35,Additional Choices,13.04,yes,10,6009681960065
FINGER TOE DRESS 50X50,Additional Choices,14.01,yes,10,6009681960560
FIRE BOWL 200MM,Additional Choices,6675.75,yes,1,6009679911727
FOOTCARE MENS INSOLES,Additional Choices,201.56,yes,2,6003058076922
FOOTCARE WOMANS INSOLES,Additional Choices,211.45,yes,2,6003058076939
LAUNDRY LIQUID A&K  1L,Additional Choices,161.69,yes,5,6009702802206
LAUNDRY LIQUID O&M  1L,Additional Choices,161.69,yes,5,6009702802183
LEGGINGS,Additional Choices,130.00,yes,15,6000000000000
LIVER CASTOR OIL PACK,Additional Choices,289.99,yes,6,600000000575
MATCHA SET 5 PIECE,Additional Choices,805.00,yes,8,600000000880
MATCHA SET 7 PIECE,Additional Choices,829.15,yes,2,600000000967
NEBULISER NA100,Additional Choices,1293.52,yes,1,4715139000215
PRO FOG 1L,Additional Choices,93.06,yes,4,600000003439
S-PLAST WHITE FAB B 100MM,Additional Choices,207.53,yes,2,6009681960102
S-PLAST WHITE FAB B 50MM,Additional Choices,101.11,yes,2,6009681960096
SAN O DOC PET 250ML,Additional Choices,77.28,yes,2,6009906440365
SERE CO BANDAGE 25 X4.5M,Additional Choices,68.70,yes,2,6009681962151
SERE CREPE BAND 100 X4.5M 1,Additional Choices,20.52,yes,10,6009681961130
SERE CREPE BAND 150 X4.5M 1,Additional Choices,31.40,yes,11,6009681961147
SERE CREPE BAND 50 X4.5M 1,Additional Choices,12.48,yes,13,6009681961116
SERE CREPE BAND 75 X4.5M 1,Additional Choices,16.22,yes,12,6009681961123
SERE DERM PLUS 110X210 1,Additional Choices,48.31,yes,20,6009681961697
SERE DERM PLUS 40X70 1,Additional Choices,8.13,yes,84,6009681961659
SERE DERM PLUS 60X90 1,Additional Choices,13.78,yes,41,6009681961673
SERE FLOW NASAL IRR GRAN 3.6G,Additional Choices,6.99,yes,30,6009681962397
SERE PAD 60X100MM 1,Additional Choices,11.77,yes,43,6009681961055
SERE PORE 90X150 1,Additional Choices,12.99,yes,1,6009681961413
SERE SPRAY 500G,Additional Choices,293.83,yes,2,6004354001168
SERE-BAN 100 X4.5M B,Additional Choices,109.48,yes,1,6009681960492
SERE-BAN 75 X4.5M B,Additional Choices,93.38,yes,1,6009681960980
SERE-FLOW NASAL IRR+SALT,Additional Choices,315.00,yes,1,6009681962182
SEREFOAM UNDERWRAP 70MMX27M,Additional Choices,52.60,yes,2,6009681961420
SERENET 5X5.5 PIECES,Additional Choices,26.16,yes,1,6009681962281
SHAKER BOTTLE,Additional Choices,149.00,yes,8,600000000208
SILICONE EARPLUGS,Additional Choices,68.44,yes,2,6003058070357
SLOW JUICER DNA,Additional Choices,4500.01,yes,1,6005904432630
SOFT SWAP 50X50 25-4PLY,Additional Choices,26.32,yes,1,6009681960041
SOFT SWAP 75X75 25 4PLY,Additional Choices,31.07,yes,1,6009681960546
STERI GAUZE SWAB 100X100,Additional Choices,9.82,yes,4,6009681960089
STERI GAUZE SWAB 50X50,Additional Choices,5.64,yes,2,6009681960072
THYROID L NECK CASTOR OIL PACK,Additional Choices,120.76,yes,1,600000000234
THYROID S CASTOR OIL PACK,Additional Choices,145.00,yes,2,600000000128
TRAVEL FUNNELS,Additional Choices,99.00,yes,8,6000000007461
TRAY DRESS STD PWD GLOVES MEDIUM,Additional Choices,39.45,yes,5,6009681962007
USB WHITE SALT LAMP 1/2KG,Additional Choices,244.09,yes,19,600000000561
VOUCHER R500,Additional Choices,500.00,yes,2,V500
W/LESS HND CLEANSER 5L,Additional Choices,435.18,yes,1,600000002864
03 FOUNDATION 30ML,Body Care,695.00,yes,5,6009703197127
04 FOUNDATION 30ML,Body Care,695.00,yes,1,6009703197141
05 FOUNDATION 30ML,Body Care,695.00,yes,1,6009703197165
06 FOUNDATION 30ML,Body Care,695.00,yes,1,6009703197189
10 CONCEALER 4.9g,Body Care,495.00,yes,4,6009554901676
100ML ALMOND SWT,Body Care,85.66,yes,6,6009704871835
100ML ALOE FEROX,Body Care,108.37,yes,1,600970481859
100ML APRICOT,Body Care,80.41,yes,2,6009704871873
100ML ARNICA,Body Care,211.51,yes,1,6000000604714
100ML AVO OIL,Body Care,82.15,yes,3,6009704871910
100ML BLACKSEED,Body Care,187.03,yes,4,6009704871965
100ML CASSIA,Body Care,499.27,yes,1,6000000013806
100ML COCONUT,Body Care,50.69,yes,3,6009704872030
100ML GERANIUM HYROSOL,Body Care,42.79,yes,3,6009704872740
100ML GOLD COLLOIDAL,Body Care,229.95,yes,4,600000012659
100ML GRAPE SEED,Body Care,59.44,yes,7,6009704872122
100ML HEALING CREAM,Body Care,414.00,yes,2,737186669454
100ML JAM BLK CASTOR OIL ??,Body Care,306.15,yes,2,6109888877777
100ML JOJOBA,Body Care,208.01,yes,5,6009704872184
100ML JUNIPER,Body Care,620.00,yes,1,6000000519849
100ML MACADAMIA,Body Care,75.17,yes,4,6009704872207
100ML MARULA,Body Care,225.49,yes,4,6009704872221
100ML NEEM OIL,Body Care,136.34,yes,5,6009704872245
100ML ORANGE BLOS,Body Care,64.67,yes,1,6009704872719
100ML PAIN BALM,Body Care,483.00,yes,2,737186669478
100ML ROSE WATER,Body Care,123.00,yes,4,6009704872733
100ML ROSEHIP,Body Care,375.82,yes,5,6009704872344
100ML ROSEMARY ORGANIC,Body Care,880.00,yes,1,6009704877349
100ML STRAW FACE WASH,Body Care,112.13,yes,6,0737186660673
100ML WATERLESS HAND CLEANER,Body Care,54.03,yes,3,0781159197765
100ML WHEAT GRM,Body Care,115.37,yes,3,6009704872450
