product_id,product_title,variant_id,old_price,new_price,old_compare_at,new_compare_at
gid://shopify/Product/8049744806198,AFRICAN CRANBERRY - 100% African Cranberry Concentrate 500ml,gid://shopify/ProductVariant/44137585541430,164.91,164.00,,
gid://shopify/Product/8049745002806,ADORE NATURE - Green Banana Chips 80g,gid://shopify/ProductVariant/44137585803574,37.77,37.00,,
gid://shopify/Product/8049749131574,SONTAL - Peptan Collagen Pure 300g,gid://shopify/ProductVariant/44137591898422,480.21,480.00,,
gid://shopify/Product/8049749295414,SONTAL - Peptan Collagen C Berry 330g,gid://shopify/ProductVariant/44137592160566,541.80,541.00,,
gid://shopify/Product/8049749590326,SONTAL - Marine Collagen 90 Capsules,gid://shopify/ProductVariant/44137592553782,404.55,404.00,,
gid://shopify/Product/8049749852470,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Hand Cleanse 100ml,gid://shopify/ProductVariant/44137593012534,54.03,54.00,,
gid://shopify/Product/8049750049078,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Power Dish 1Kg,gid://shopify/ProductVariant/44137593274678,95.42,95.00,,
gid://shopify/Product/8049750638902,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Multi Surface Cleaner 1L,gid://shopify/ProductVariant/44137594224950,109.48,109.00,,
gid://shopify/Product/8049750835510,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Glass & Mirror Cleaner 1L,gid://shopify/ProductVariant/44137594454326,109.48,109.00,,
gid://shopify/Product/8049751130422,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Kb Cleaner 1L,gid://shopify/ProductVariant/44137594945846,116.32,116.00,,
gid://shopify/Product/8049751425334,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Tile And Floor Cleaner 1L,gid://shopify/ProductVariant/44137595437366,165.59,165.00,,
gid://shopify/Product/8049751818550,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Odour Neutralizer 200ml,gid://shopify/ProductVariant/44137595961654,57.96,57.00,,
gid://shopify/Product/8049752310070,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Glass & Mirror Cleaner 500ml,gid://shopify/ProductVariant/44137596846390,67.62,67.00,,
gid://shopify/Product/8049753030966,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Pet Care Ultimate Cleaner 500ml,gid://shopify/ProductVariant/44137598091574,72.45,72.00,,
gid://shopify/Product/8049753194806,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Sewage Doctor 500ml,gid://shopify/ProductVariant/44137598353718,51.52,51.00,,
gid://shopify/Product/8049753686326,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Liquid Dish 750ml,gid://shopify/ProductVariant/44137599172918,979.13,979.00,,
gid://shopify/Product/8049754046774,PROBIOTECH GREEN CLEANING TECHNOLOGY - Bio-Odour Neutralizer 5L,gid://shopify/ProductVariant/44137599697206,435.18,435.00,,
gid://shopify/Product/8049755390262,CANNACO - CBD Oil 600mg - Vanilla Fynbos -  30ml,gid://shopify/ProductVariant/44137601827126,559.51,559.00,,
gid://shopify/Product/8053009318198,CREDÉ NATURAL OILS - Organic Sesame Oil 250ml,gid://shopify/ProductVariant/44146773655862,126.70,126.00,,
